start_tick,end_tick,seconds,target,node_count,nodes_considered,predicted_ticks,path_geometry,travel,endpoint_distance,travel_to_endpoint_ratio,unfinished
7009,7013,0.2,"[1130, 74, 127]",2,2,3.5637918745545254,1.0,0.5593006486017887,0.68757790811818,,
7015,7016,0.05,"[1130, 74, 128]",2,2,3.5637918745545254,1.0,0.03824156477119636,0.02087989679033051,,
7025,7029,0.2,"[1130, 74, 128]",2,2,3.5637918745545254,1.0,0.5593008071206284,0.6875782527685785,,
7035,7036,0.05,"[1130, 74, 129]",2,2,3.5637918745545254,1.0,0.03261401615129066,0.01780725488695686,,
7045,7049,0.2,"[1130, 74, 129]",2,2,3.5637918745545254,1.0,0.559300744486813,0.687578063468376,,
7063,7068,0.25,"[1130, 74, 130]",2,2,3.5637918745545254,1.0,0.8149778377381347,0.9545774639104326,,
7071,7073,0.1,"[1130, 74, 131]",2,2,3.5637918745545254,1.0,0.0351295383003313,0.019180730139854798,,
7081,7085,0.2,"[1130, 74, 131]",2,2,3.5637918745545254,1.0,0.5593007886406683,0.6875782290578449,,
7091,7092,0.05,"[1130, 74, 132]",2,2,3.5637918745545254,1.0,0.03261402130336703,0.01780725770000994,,
7093,7096,0.15,"[1130, 74, 132]",2,2,3.5637918745545254,1.0,0.34229028114368953,0.44169047631740205,,
7107,7108,0.05,"[1130, 74, 133]",2,2,3.5637918745545254,1.0,0.039537702933010066,0.11958500233380942,,
7116,7120,0.2,"[1130, 74, 133]",2,2,3.5637918745545254,1.0,0.3243604400235439,0.4319008452846025,,
7134,7158,1.2,"[1125, 71, 129]",6,27,26.52851095221534,6.242640687119286,5.169138432383332,3.648173782047549,1.416911238664222,
7159,7160,0.05,"[1125, 71, 129]",5,18,39.06658138341782,5.242640687119286,0.1726429257618646,0.09426304841482748,,
7165,7178,0.65,"[1125, 71, 129]",2,4,13.174950993911652,2.23606797749979,2.910453660607786,2.2417594176434417,1.2982899225052804,
7192,7193,0.05,"[1124, 72, 130]",2,2,3.5637918745545254,1.0,0.0,0.0,,
7194,7198,0.2,"[1124, 72, 130]",2,2,3.5637918745545254,1.0,0.5593007924333877,0.6875781804281285,,
7201,7203,0.1,"[1124, 72, 130]",2,23,29.283156037846794,1.0,0.12194872203861609,0.1562524072179886,,
7204,7213,0.45,"[1124, 72, 130]",2,23,29.283156037846794,1.0,0.5557068076041494,0.5286663684951721,,
7216,7217,0.05,"[1124, 72, 130]",8,196,60.35006480186509,11.738768882709854,0.12740000920216585,0.06956041310401817,,
7218,7279,3.05,"[1124, 72, 130]",8,196,56.78627292731056,11.738768882709854,11.85131194224444,6.2041490645020465,1.9102235969882588,
7286,7298,0.6,"[1124, 72, 130]",3,9,12.88479347272072,2.414213562373095,1.8107693549221935,1.378850897576514,1.3132452233267753,
7301,7313,0.6,"[1124, 64, 125]",2,9,13.320346770905534,1.0,0.40639961458631924,0.44771115634059405,,
7322,7324,0.1,"[1124, 64, 125]",2,2,3.5637918745545254,1.0,0.12740001114306362,0.19696042530681407,,
7400,7420,1.0,"[1127, 64, 128]",3,13,16.88413864546006,2.0,1.2227249503855921,1.1032278828339261,1.1083158515217244,
7429,7431,0.1,"[1127, 64, 128]",2,2,3.5637918745545254,1.0,0.12740001222781153,0.19696042698385346,,
7443,7457,0.7,"[1129, 65, 128]",3,5,10.196638758964996,2.414213562373095,2.779239697101711,2.0580983188570388,1.3503920933403983,
7477,7479,0.1,"[1127, 68, 128]",2,2,5.039962802470046,1.4142135623730951,0.131407438754094,0.19695102069624518,,
7480,7516,1.8,"[1127, 68, 128]",3,135,39.693325438972025,2.414213562373095,5.928358198071004,2.71796248973455,2.1811773416527167,
7545,7579,1.7,"[1129, 68, 129]",5,13,29.854541332241254,6.99070478491457,7.901632471575399,3.445695282843299,2.2931895663899726,
7624,7628,0.2,"[1126, 65, 131]",2,2,5.039962802470046,1.4142135623730951,0.559274067396631,0.687545275426909,,
7630,7633,0.15,"[1126, 65, 131]",2,2,5.039962802470046,1.4142135623730951,0.36371566749759243,0.4604376046314251,,
7639,7657,0.9,"[1128, 64, 131]",3,15,17.866015851687408,2.0,1.391485430718184,1.1738034265289807,1.185450135235083,
7686,7694,0.4,"[1129, 65, 131]",2,3,6.63284688441047,1.4142135623730951,1.659020858878088,1.2970678069965609,1.2790548419512864,
7697,7702,0.25,"[1129, 65, 131]",3,25,25.453848091421204,2.414213562373095,0.48993901775128146,0.5703306543008495,,
7703,7704,0.05,"[1129, 65, 131]",6,2099,118.00718480561278,7.576491222541475,0.15085961728484112,0.1137157500336834,,
7711,7712,0.05,"[1129, 65, 131]",6,665,84.01805366741576,12.31526010525133,0.42003841935256897,0.33321443600144784,,
7724,7809,4.25,"[1129, 65, 131]",7,563,80.22540899824006,14.137114520378024,17.189981335607335,10.630098091105365,1.6171046765778099,
7811,7839,1.4,"[1129, 65, 131]",13,1900,132.07919791381406,16.14213562373095,4.395695662211652,2.360784591517893,1.8619638903121565,
7849,7863,0.7,"[1129, 65, 131]",10,1174,109.74971231514209,12.313708498984761,1.7385157731406875,1.1715430359009391,1.483953828297682,
7865,7889,1.2,"[1129, 65, 131]",9,906,103.11686543073162,10.899494936611665,3.7584415262788466,2.365969920616888,1.5885415505615958,
7891,7909,0.9,"[1129, 65, 131]",7,541,84.35117170661415,8.071067811865476,2.4983201334194955,2.1183718527584077,1.1793586334553792,
7919,7943,1.2,"[1129, 65, 131]",5,257,60.085478027200175,5.242640687119286,2.376721840757189,1.3789145445842392,1.723617935637775,
7943,7952,0.45,"[1129, 65, 131]",2,11,19.06193790133015,1.0,1.4977651204726221,0.7972543104572515,,
7957,7975,0.9,"[1129, 65, 131]",4,91,43.827631278995625,3.8284271247461903,1.9356882746414041,1.3417810847516851,1.4426259966242032,
7984,7993,0.45,"[1129, 65, 131]",2,2,6.63284688441047,1.4142135623730951,1.9513384976538173,1.8301585230793562,1.0662128296791298,
8011,8012,0.05,"[1130, 64, 131]",2,11,14.302223977132883,1.0,0.0,0.0,,
8021,8031,0.5,"[1130, 64, 131]",2,11,14.302223977132883,1.0,0.02188219974551908,0.04157596117990532,,
8031,8034,0.15,"[1130, 64, 131]",2,5,9.321001598166195,1.4142135623730951,0.12929105748524888,0.1842013928500695,,
8057,8066,0.45,"[1130, 65, 128]",3,5,11.672809686880516,2.8284271247461903,1.8419733407177161,1.4023151337009514,1.3135231136359706,
8067,8069,0.1,"[1130, 65, 128]",3,53,32.681731449783,4.16227766016838,0.30636949864485613,0.29106194114023426,,
8069,8071,0.1,"[1130, 65, 128]",3,47,31.73266347028857,4.16227766016838,0.1589198383215956,0.08677024180227161,,
8072,8113,2.05,"[1130, 65, 128]",3,47,31.73266347028857,4.16227766016838,5.515491211337206,4.121480188231406,1.3382306742820942,
8115,8148,1.65,"[1130, 65, 128]",5,141,51.38956957148124,4.82842712474619,6.446437032750041,4.1233843035793765,1.5633849668472808,
8153,8154,0.05,"[1130, 68, 128]",3,94,38.2238758026603,2.0,0.03156378031347088,0.017233826052899113,,
8164,8178,0.7,"[1130, 68, 128]",3,94,38.2238758026603,2.0,2.7535937592521407,1.8322033533667508,1.50288654050998,
8209,8219,0.5,"[1130, 69, 128]",2,5,18.53138753764188,1.0,0.5664049311180579,0.7894465233330457,,
8221,8237,0.8,"[1130, 69, 128]",2,8,19.06193790133015,1.0,1.598171744663517,1.2523238339727358,1.2761649194151732,
8253,8255,0.1,"[1131, 69, 127]",2,2,6.63284688441047,1.4142135623730951,0.0,0.0,,
8263,8270,0.35,"[1131, 69, 127]",2,2,6.63284688441047,1.4142135623730951,1.4822365379970843,1.3643577046655408,1.086398774257254,
8281,8282,0.05,"[1129, 69, 129]",2,2,11.26569376882094,2.0,0.0,0.0,,
8291,8308,0.85,"[1129, 69, 129]",2,2,11.26569376882094,2.0,3.8489215808244994,2.4592479737650077,1.56508071649723,
